"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.205102671E2,6.778369667E1,2.482058667E1,2.290776575E2,8.873811364E-1,2.950799866E2,1.600000024E0,8.899999619E0
1.215085324E2,6.778370000E1,2.482056000E1,2.286776178E2,8.750277758E-1,2.846400146E2,1.600000024E0,8.899999619E0
1.225108191E2,6.778370333E1,2.482052667E1,2.283775700E2,8.863516450E-1,2.963500061E2,1.600000024E0,9.300000191E0
1.235091243E2,6.778370500E1,2.482049500E1,2.281775282E2,9.033374786E-1,2.909400024E2,1.600000024E0,9.300000191E0
1.245082677E2,6.778370833E1,2.482046167E1,2.279774805E2,9.146614075E-1,3.039500122E2,1.600000024E0,9.000000000E0
1.255107989E2,6.778371667E1,2.482042833E1,2.279774210E2,9.342208505E-1,3.070000000E2,1.600000024E0,9.000000000E0
1.265089785E2,6.778372333E1,2.482040333E1,2.279773753E2,9.501771927E-1,3.007900085E2,1.600000024E0,8.899999619E0
1.275087776E2,6.778372833E1,2.482037500E1,2.279773296E2,9.923844337E-1,2.988800049E2,1.600000024E0,9.199999809E0
1.285089958E2,6.778373333E1,2.482035167E1,2.274772899E2,1.007826090E0,3.108099976E2,1.600000024E0,9.100000381E0
1.295085948E2,6.778374167E1,2.482033500E1,2.272772504E2,1.037165284E0,3.136499939E2,1.600000024E0,9.399999619E0
1.305083692E2,6.778375167E1,2.482031167E1,2.271771989E2,1.065474987E0,3.022799988E2,1.600000024E0,9.600000381E0
1.315085123E2,6.778376167E1,2.482028167E1,2.268771394E2,1.079372525E0,2.995799866E2,1.600000024E0,9.600000381E0
1.325090695E2,6.778377000E1,2.482027333E1,2.267771098E2,1.065989733E0,3.208299866E2,1.600000024E0,9.899999619E0
1.335083465E2,6.778378333E1,2.482025500E1,2.266770564E2,1.101505518E0,3.347699890E2,1.600000024E0,9.800000191E0
1.345084047E2,6.778379500E1,2.482024333E1,2.265770150E2,1.121065021E0,3.364500122E2,1.600000024E0,9.899999619E0
1.355109715E2,6.778380500E1,2.482023500E1,2.265769814E2,1.100476146E0,3.346000061E2,1.600000024E0,1.019999981E1
1.365089069E2,6.778381333E1,2.482022000E1,2.266769438E2,1.080401897E0,3.359599915E2,1.600000024E0,1.000000000E1
1.375084911E2,6.778382167E1,2.482020667E1,2.265769082E2,1.032532811E0,3.483800049E2,1.600000024E0,1.080000019E1
1.385092970E2,6.778383167E1,2.482020000E1,2.262768767E2,1.036650538E0,3.481099854E2,1.500000000E0,1.069999981E1
1.395086432E2,6.778384167E1,2.482019833E1,2.257768511E2,1.018635273E0,3.465100098E2,1.600000024E0,1.069999981E1
1.405095899E2,6.778385000E1,2.482018500E1,2.254768155E2,9.985610843E-1,3.311400146E2,1.600000024E0,1.130000019E1
1.415102674E2,6.778386000E1,2.482017167E1,2.254767760E2,9.836341739E-1,3.301900024E2,1.600000024E0,1.039999962E1
1.425099179E2,6.778386833E1,2.482015833E1,2.255767404E2,9.584127665E-1,3.490499878E2,1.600000024E0,1.080000019E1
1.435099385E2,6.778387500E1,2.482015167E1,2.253767167E2,9.033374786E-1,3.405400085E2,1.600000024E0,1.039999962E1
1.445097775E2,6.778388500E1,2.482015000E1,2.254766912E2,8.832633495E-1,3.477300110E2,1.600000024E0,1.060000038E1
1.455096709E2,6.778389667E1,2.482015167E1,2.255766657E2,9.285588861E-1,6.409999847E0,1.600000024E0,1.050000000E1
1.465093711E2,6.778391000E1,2.482014500E1,2.255766262E2,9.409122467E-1,1.043999958E1,1.600000024E0,1.039999962E1
1.475096175E2,6.778391833E1,2.482014000E1,2.256766006E2,9.558391571E-1,3.561700134E2,1.500000000E0,9.100000381E0
1.485094222E2,6.778392833E1,2.482013167E1,2.253765671E2,9.311324954E-1,3.597999878E2,1.500000000E0,9.300000191E0
1.495089874E2,6.778393833E1,2.482013333E1,2.254765455E2,9.342208505E-1,3.586799927E2,1.500000000E0,9.699999809E0
1.505093493E2,6.778395000E1,2.482013000E1,2.252765140E2,9.414269328E-1,3.473500061E2,1.600000024E0,1.030000019E1
1.515096019E2,6.778396333E1,2.482012500E1,2.250764766E2,9.681925178E-1,3.515299988E2,1.600000024E0,1.050000000E1
1.525090607E2,6.778397667E1,2.482012500E1,2.250764452E2,1.004223108E0,8.600000143E-1,1.600000024E0,1.060000038E1
1.535096382E2,6.778398667E1,2.482012333E1,2.248764196E2,1.023782492E0,3.537799988E2,1.600000024E0,1.030000019E1
1.545093557E2,6.778399667E1,2.482012000E1,2.246763921E2,1.000105262E0,3.333599854E2,1.600000024E0,1.000000000E1
1.555090767E2,6.778400500E1,2.482012333E1,2.248763764E2,9.373091459E-1,3.465199890E2,1.600000024E0,1.019999981E1
1.565096997E2,6.778401667E1,2.482012833E1,2.249763549E2,9.259852767E-1,2.500000000E0,1.600000024E0,1.060000038E1
1.575096847E2,6.778402833E1,2.482012500E1,2.252763234E2,9.141466618E-1,1.100000024E0,1.600000024E0,1.060000038E1
1.585100145E2,6.778403833E1,2.482012167E1,2.252762958E2,9.043669701E-1,2.480000019E0,1.600000024E0,1.069999981E1
1.595097739E2,6.778404833E1,2.482011833E1,2.253762683E2,8.822339177E-1,3.563800049E2,1.500000000E0,1.030000019E1
1.605096296E2,6.778406333E1,2.482011833E1,2.255762329E2,8.770866394E-1,3.511799927E2,1.500000000E0,1.039999962E1
1.615093742E2,6.778407667E1,2.482011833E1,2.259762015E2,8.781161308E-1,3.490499878E2,1.600000024E0,1.019999981E1
1.625096429E2,6.778409167E1,2.482012000E1,2.264761681E2,8.755425215E-1,3.544400024E2,1.600000024E0,1.010000038E1
1.635094748E2,6.778410500E1,2.482012167E1,2.267761387E2,8.724541664E-1,3.463900146E2,1.600000024E0,1.000000000E1
1.645096739E2,6.778411833E1,2.482012333E1,2.269761093E2,9.285588861E-1,1.639999986E0,1.600000024E0,1.019999981E1
1.655094210E2,6.778413167E1,2.482012500E1,2.271760798E2,9.414269328E-1,9.779999733E0,1.600000024E0,9.699999809E0
1.665094434E2,6.778414333E1,2.482013333E1,2.274760623E2,9.445152879E-1,4.019999981E0,1.600000024E0,1.000000000E1
1.675092600E2,6.778415500E1,2.482014333E1,2.278760468E2,9.275294542E-1,3.504800110E2,1.600000024E0,9.000000000E0
1.685096684E2,6.778416333E1,2.482014000E1,2.277760231E2,9.362797141E-1,3.463999939E2,1.500000000E0,9.000000000E0
1.695086508E2,6.778417500E1,2.482014167E1,2.279759976E2,9.445152879E-1,3.500100098E2,1.500000000E0,9.500000000E0
1.705094422E2,6.778418667E1,2.482014167E1,2.282759701E2,9.203233123E-1,3.524599915E2,1.500000000E0,9.500000000E0
1.715111785E2,6.778419500E1,2.482013667E1,2.283759445E2,8.796602488E-1,3.515599976E2,1.600000024E0,9.300000191E0
1.725083545E2,6.778420500E1,2.482013167E1,2.282759150E2,8.405413628E-1,3.567300110E2,1.600000024E0,9.399999619E0
1.735090025E2,6.778421500E1,2.482012667E1,2.281758854E2,8.441444635E-1,3.563800049E2,1.500000000E0,9.300000191E0
1.745085890E2,6.778422500E1,2.482012667E1,2.281758618E2,8.173788786E-1,3.593500061E2,1.500000000E0,9.699999809E0
1.755082954E2,6.778423500E1,2.482012500E1,2.282758363E2,8.323058486E-1,3.566900024E2,1.500000000E0,9.800000191E0
1.765091955E2,6.778424667E1,2.482012167E1,2.283758048E2,8.317911029E-1,3.582699890E2,1.500000000E0,1.000000000E1
1.775091062E2,6.778425667E1,2.482012000E1,2.282757792E2,8.575271964E-1,3.567300110E2,1.500000000E0,1.010000038E1
1.785081272E2,6.778427000E1,2.482011000E1,2.280757358E2,8.801749945E-1,3.525599976E2,1.600000024E0,1.019999981E1
1.795083563E2,6.778428333E1,2.482010500E1,2.278756984E2,9.033374786E-1,3.525100098E2,1.600000024E0,1.030000019E1
1.805099437E2,6.778429333E1,2.482010500E1,2.279756748E2,9.089994431E-1,3.487000122E2,1.600000024E0,1.050000000E1
1.815083656E2,6.778430167E1,2.482010167E1,2.277756512E2,9.115730524E-1,3.510199890E2,1.600000024E0,1.010000038E1
1.825088687E2,6.778431000E1,2.482010333E1,2.276756336E2,9.455447197E-1,1.451000023E1,1.600000024E0,1.030000019E1
1.835098746E2,6.778431833E1,2.482010667E1,2.277756179E2,9.218674898E-1,3.458399963E2,1.600000024E0,1.030000019E1
1.845085662E2,6.778432500E1,2.482010333E1,2.278755982E2,8.482622504E-1,3.254200134E2,1.600000024E0,9.399999619E0
1.855085363E2,6.778433000E1,2.482010000E1,2.283755824E2,7.885544300E-1,5.400000215E-1,1.500000000E0,8.699999809E0
1.865085493E2,6.778434000E1,2.482009167E1,2.286755489E2,7.926722169E-1,3.809999943E0,1.500000000E0,8.800000191E0
1.875092022E2,6.778435333E1,2.482008000E1,2.290755035E2,8.328205347E-1,3.467699890E2,1.600000024E0,8.899999619E0
1.885088336E2,6.778436500E1,2.482007500E1,2.293754700E2,8.142905831E-1,3.447799988E2,1.600000024E0,8.899999619E0
1.895089696E2,6.778437833E1,2.482007333E1,2.297754366E2,8.050255775E-1,3.545799866E2,1.600000024E0,8.800000191E0
1.905081404E2,6.778439000E1,2.482007500E1,2.300754111E2,8.503211141E-1,1.539999962E0,1.600000024E0,9.000000000E0
1.915083194E2,6.778440167E1,2.482007833E1,2.302753876E2,9.074552655E-1,9.569999695E0,1.600000024E0,8.699999809E0
1.925107472E2,6.778441333E1,2.482008000E1,2.304753621E2,9.043669701E-1,1.409000015E1,1.600000024E0,9.199999809E0
1.935088748E2,6.778442667E1,2.482008833E1,2.309753406E2,9.445152879E-1,1.255000019E1,1.600000024E0,9.300000191E0
1.945092766E2,6.778443833E1,2.482009500E1,2.313753211E2,1.045915604E0,2.529999924E1,1.600000024E0,9.399999619E0
1.955103315E2,6.778444833E1,2.482010167E1,2.314753055E2,1.129300594E0,1.321000004E1,1.600000024E0,8.899999619E0
1.965079809E2,6.778445667E1,2.482009500E1,2.314752779E2,1.185920000E0,3.596099854E2,1.600000024E0,8.500000000E0
1.975091292E2,6.778447000E1,2.482009833E1,2.315752505E2,1.177169681E0,1.340000033E0,1.600000024E0,9.000000000E0
1.985094231E2,6.778448167E1,2.482010333E1,2.315752289E2,1.210626721E0,8.260000229E0,1.600000024E0,9.100000381E0
1.995084114E2,6.778449333E1,2.482012167E1,2.317752234E2,1.246142507E0,2.525000000E1,1.600000024E0,9.199999809E0
2.005086363E2,6.778450333E1,2.482014333E1,2.316752257E2,1.264157772E0,2.668000031E1,1.600000024E0,9.500000000E0
2.015086592E2,6.778451667E1,2.482016000E1,2.317752142E2,1.238936424E0,2.320000076E1,1.600000024E0,9.300000191E0
2.025085336E2,6.778453000E1,2.482017333E1,2.317751987E2,1.228641987E0,1.468000031E1,1.600000024E0,9.600000381E0
2.035085646E2,6.778454000E1,2.482019500E1,2.317752011E2,1.255407453E0,3.715999985E1,1.600000024E0,9.000000000E0
2.045089329E2,6.778455167E1,2.482021500E1,2.319751975E2,1.244598389E0,3.147999954E1,1.600000024E0,8.699999809E0
2.055086355E2,6.778456167E1,2.482023667E1,2.320751999E2,1.236877441E0,2.787999916E1,1.500000000E0,8.800000191E0
2.065099127E2,6.778456833E1,2.482025167E1,2.317752021E2,1.175110817E0,2.006999969E1,1.500000000E0,8.899999619E0
2.075105689E2,6.778457500E1,2.482027500E1,2.315752143E2,1.171507835E0,5.431999969E1,1.500000000E0,9.199999809E0
2.085083296E2,6.778458167E1,2.482030167E1,2.314752305E2,1.135477185E0,4.136999893E1,1.500000000E0,9.100000381E0
2.095081963E2,6.778459000E1,2.482032167E1,2.314752347E2,1.099961400E0,4.411999893E1,1.500000000E0,9.300000191E0
2.105085038E2,6.778459833E1,2.482034167E1,2.314752390E2,1.047459722E0,5.736999893E1,1.500000000E0,9.600000381E0
2.115086776E2,6.778460500E1,2.482036667E1,2.315752532E2,1.046430230E0,4.543000031E1,1.500000000E0,8.800000191E0
2.125082564E2,6.778461167E1,2.482039000E1,2.316752654E2,1.049518585E0,4.461000061E1,1.500000000E0,8.899999619E0
2.135107102E2,6.778461833E1,2.482040667E1,2.316752696E2,1.007826090E0,2.177000046E1,1.600000024E0,9.100000381E0
