"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.589873426E0,3.582057953E-1,8.070659637E-1,-6.165342331E-1
1.597869738E0,2.382999659E-1,8.333559036E-1,-4.997076988E-1
1.605865359E0,-2.029099464E-1,7.567076683E-1,-3.971953392E-1
1.613862595E0,-2.292983532E-1,6.967744827E-1,-4.270982742E-1
1.621889754E0,-2.836537361E-2,5.888581276E-1,-4.921813011E-1
1.629884144E0,1.292663813E-1,4.755096436E-1,-5.560455322E-1
1.637878995E0,3.647387028E-1,3.437824249E-1,-3.518376350E-1
1.645873693E0,6.285605431E-1,2.442526817E-1,-1.249203682E-1
1.653871237E0,8.279849291E-1,1.565318108E-1,-4.907560349E-2
1.661866627E0,9.693754911E-1,1.116504669E-1,-1.885590553E-1
1.669860862E0,1.017320633E0,1.219925880E-1,-3.185706139E-1
1.677887560E0,7.597788572E-1,1.658759117E-1,-2.759690285E-1
1.685883566E0,5.015687943E-1,3.356218338E-1,-1.513323784E-1
1.693877494E0,2.288733721E-1,4.802513123E-1,-6.702899933E-2
1.701873191E0,1.307260990E-2,5.146784782E-1,-1.658272743E-1
1.709868812E0,5.178689957E-2,4.984006882E-1,-2.771344185E-1
1.717865741E0,9.731662273E-2,4.410696030E-1,-3.839130402E-1
1.725862130E0,1.831737757E-1,5.400366783E-1,-4.295148849E-1
1.733886751E0,-2.133822441E-2,5.322699547E-1,-4.830617905E-1
1.741882371E0,1.039252281E-1,5.160298347E-1,-3.219342232E-1
1.749878070E0,-1.499176025E-3,5.652580261E-1,7.239007950E-2
1.757876536E0,-1.180002689E-1,6.293787956E-1,3.038678169E-1
1.765868926E0,1.470270157E-1,5.628085136E-1,1.004586220E-1
1.773865238E0,2.592483759E-1,4.011578560E-1,-3.010759354E-1
1.781860244E0,4.026508331E-1,2.602629662E-1,-5.628161430E-1
1.789855019E0,4.437469244E-1,1.986508369E-1,-5.302648544E-1
1.797884024E0,4.046285152E-1,2.452998161E-1,-3.136515617E-1
1.805877875E0,2.031205893E-1,2.262048721E-1,-1.014910221E0
1.813873573E0,-3.425652981E-1,5.456509590E-1,-4.713892937E-1
1.821869194E0,-3.133115768E-1,5.700478554E-1,2.950820923E-1
1.829864968E0,-3.142576218E-1,4.321084023E-1,5.586714745E-1
1.837861588E0,-2.453157902E-1,2.912817001E-1,3.655500412E-1
1.845887364E0,-3.416221142E-1,3.010025024E-1,4.121155739E-1
1.853884907E0,-3.646640778E-1,3.676815033E-1,3.391590118E-1
1.861880604E0,-5.020184517E-1,4.264183044E-1,8.920574188E-2
1.869874455E0,-5.609908104E-1,4.565238953E-1,1.837902069E-1
1.877870153E0,-3.900678158E-1,6.324682236E-1,6.866230965E-1
1.885866851E0,-1.385390759E-1,7.709045410E-1,7.846503258E-1
1.893859472E0,2.179912329E-1,8.283801079E-1,4.383392334E-1
1.901887169E0,3.944938183E-1,8.833565712E-1,-2.095999718E-1
1.909884097E0,4.104348421E-1,1.079549789E0,-6.235756874E-1
1.917877026E0,3.856277466E-2,1.220871449E0,-5.428109169E-1
1.925873031E0,-4.599788189E-1,1.299991608E0,-1.419286728E-1
1.933868421E0,-7.033569813E-1,1.428509712E0,1.957721710E-1
1.941864733E0,-1.368380070E0,1.096115112E0,3.982963562E-1
1.949862278E0,-1.301942110E0,1.079313278E0,5.573725700E-1
1.957885975E0,-9.779350758E-1,1.184687614E0,1.030352116E0
1.965881365E0,-8.408715725E-1,1.003307343E0,1.243140697E0
1.973877985E0,-8.080474138E-1,5.009942055E-1,1.165200710E0
1.981873299E0,-6.231498718E-1,3.259549141E-1,1.180721760E0
1.989868381E0,-3.389616013E-1,2.026343346E-1,1.329072952E0
1.997864078E0,-2.052727938E-1,8.658409119E-2,1.257794380E0
2.005860776E0,-1.664471626E-2,-1.399755478E-2,1.069395542E0
2.013887166E0,6.143140793E-2,-3.774309158E-2,8.347859383E-1
2.021882248E0,1.032166481E-1,-4.498815536E-2,5.508370399E-1
2.029876792E0,1.395155191E-1,-6.450462341E-2,3.861389160E-1
2.037871181E0,-5.269026756E-2,-7.999515533E-2,4.946031570E-1
2.045867495E0,-2.834500074E-1,-6.755161285E-2,6.905636787E-1
2.053863577E0,-7.800244093E-1,-1.007494926E-1,1.029808044E0
2.061859813E0,-9.349884987E-1,-8.650827408E-2,1.085692406E0
2.069885049E0,-7.964501381E-1,-1.289763451E-1,7.872481346E-1
2.077880824E0,-7.471014261E-1,-1.183485985E-1,6.496863365E-1
2.085879521E0,-7.626751661E-1,-3.577661514E-2,2.806496620E-1
2.093873372E0,-9.110687971E-1,7.280158997E-2,-5.335140228E-2
2.101867839E0,-8.827774525E-1,1.454486847E-1,-1.512947083E-1
2.109863229E0,-1.044916987E0,1.369743347E-1,-1.788601875E-1
2.117859927E0,-1.108284235E0,1.091918945E-1,-2.963752747E-1
2.125886932E0,-1.009678960E0,2.550506592E-2,-4.315166473E-1
2.133881783E0,-8.976904154E-1,-1.392230988E-1,-4.304208755E-1
2.141877174E0,-9.403929710E-1,-2.766475677E-1,-3.014135361E-1
2.149872794E0,-9.618463516E-1,-4.224739075E-1,-2.315521240E-1
2.157868876E0,-8.935889006E-1,-5.315532684E-1,-1.633825302E-1
2.165862419E0,-8.636484146E-1,-7.023158073E-1,-1.262092590E-2
2.173859964E0,-6.641490459E-1,-8.192486763E-1,-2.574443817E-3
2.181885815E0,-5.115739107E-1,-1.023460388E0,8.463191986E-2
2.189880205E0,-3.956996202E-1,-1.023962498E0,3.608789444E-1
2.197879671E0,-4.455516338E-1,-1.043131351E0,6.706943512E-1
2.205873447E0,-3.728232384E-1,-9.863772392E-1,7.756996155E-1
2.213867990E0,-1.783114672E-1,-8.862547874E-1,7.009057999E-1
2.221863072E0,8.384144306E-2,-8.777160645E-1,5.478506088E-1
2.229858154E0,2.705038786E-1,-7.646679878E-1,3.767242432E-1
2.237885852E0,1.106181145E-1,-6.820268631E-1,2.414360046E-1
2.245880934E0,8.983719349E-2,-5.553307533E-1,8.158159256E-2
2.253877170E0,9.795045853E-2,-4.433403015E-1,-8.287429810E-4
2.261872637E0,5.787789822E-2,-3.379034996E-1,-1.719288826E-1
2.269868566E0,-5.424857140E-2,-2.599463463E-1,-3.867301941E-1
2.277865263E0,-2.500110865E-1,-2.371873856E-1,-5.604381561E-1
2.285858729E0,-3.249157667E-1,-2.614612579E-1,-7.110881805E-1
2.293885196E0,-3.586956263E-1,-1.308107376E-1,-8.995523453E-1
2.301883048E0,-3.055529594E-1,-5.820035934E-2,-1.049795628E0
2.309876592E0,-2.632719278E-1,-5.571317673E-2,-1.195220947E0
2.317872289E0,-2.169255018E-1,-8.384513855E-2,-1.174068451E0
2.325868371E0,-2.608747482E-1,-1.855993271E-1,-1.007628918E0
2.333863454E0,-3.645399809E-1,-2.546763420E-1,-8.543262482E-1
2.341858767E0,-4.920639992E-1,-3.274688721E-1,-6.132693291E-1
2.349884695E0,-4.795528650E-1,-3.885407448E-1,-4.152283669E-1
2.357879777E0,-3.511668444E-1,-4.632959366E-1,-3.330979347E-1
2.365876706E0,-2.232521772E-1,-5.089306831E-1,-3.567538261E-1
2.373870865E0,-1.048156023E-1,-5.662112236E-1,-3.519024849E-1
2.381867408E0,1.001209021E-1,-5.537528992E-1,-2.107257843E-1
2.389863490E0,1.571857929E-1,-4.863843918E-1,-6.679534912E-2
2.397859495E0,1.693100929E-1,-3.774266243E-1,6.436347961E-2
2.405884040E0,1.244487762E-1,-2.484898567E-1,1.253108978E-1
2.413881352E0,-4.539489746E-4,-1.577062607E-1,-2.263641357E-2
2.421878280E0,-1.571329832E-1,2.416753769E-2,-3.554062843E-1
2.429872747E0,-2.559025288E-1,2.299380302E-1,-6.522932053E-1
2.437867445E0,-3.679118156E-1,3.444824219E-1,-9.249024391E-1
2.445861912E0,-3.760170937E-1,3.937544823E-1,-1.050825119E0
2.453858532E0,-3.333294392E-1,3.528885841E-1,-1.069827080E0
2.461883537E0,-2.152380943E-1,3.063488007E-1,-1.008656979E0
2.469879159E0,-1.077804565E-1,2.665262222E-1,-8.293366432E-1
2.477875241E0,-1.923763752E-1,2.263498306E-1,-6.275696754E-1
2.485873399E0,-2.890911102E-1,2.286076546E-1,-4.149231911E-1
2.493866251E0,-4.174525738E-1,2.006111145E-1,-2.768821716E-1
2.501861718E0,-4.760627747E-1,2.075867653E-1,-1.880874634E-1
2.509857415E0,-4.972069263E-1,2.496104240E-1,-1.609187126E-1
2.517883882E0,-4.600937366E-1,2.552046776E-1,-1.791734695E-1
2.525880810E0,-3.672578335E-1,2.630267143E-1,-2.703013420E-1
